# dx,error
0.1,4.5956E-05
0.05,5.47254E-06
0.033333333,1.59515E-06
0.025,6.67435E-07
0.02,3.40039E-07
0.016666667,1.96132E-07
0.014285714,1.2322E-07
0.0125,8.24011E-08
0.011111111,5.7793E-08
0.01,4.20845E-08
0.009090909,3.15901E-08
0.008333333,2.43141E-08
0.007692308,1.91115E-08
0.007142857,1.52933E-08
0.006666667,1.24281E-08
0.00625,1.02362E-08
0.005882353,8.53087E-09
0.005555556,7.18425E-09
0.005263158,6.10676E-09
0.005,5.23441E-09
0.004761905,4.52061E-09
0.004545455,3.93091E-09
0.004347826,3.43947E-09
0.004166667,3.02666E-09
0.004,2.67735E-09
0.003846154,2.37979E-09
0.003703704,2.12473E-09
0.003571429,1.90487E-09
0.003448276,1.71432E-09
0.003333333,1.54836E-09
0.003225806,1.40315E-09
0.003125,1.27554E-09
0.003030303,1.16295E-09
0.002941176,1.06323E-09
0.002857143,9.74596E-10
0.002777778,8.95544E-10
0.002702703,8.24815E-10
0.002631579,7.61343E-10
0.002564103,7.04219E-10
0.0025,6.5267E-10
0.002439024,6.06033E-10
0.002380952,5.63734E-10
0.002325581,5.25283E-10
0.002272727,4.9025E-10
0.002222222,4.58264E-10
0.002173913,4.29002E-10
0.00212766,4.02179E-10
0.002083333,3.77546E-10
0.002040816,3.54884E-10
0.002,3.34E-10
0.001960784,3.14724E-10
0.001923077,2.96902E-10
0.001886792,2.80402E-10
0.001851852,2.65101E-10
0.001818182,2.50894E-10
0.001785714,2.37684E-10
0.001754386,2.25386E-10
0.001724138,2.13921E-10
0.001694915,2.03221E-10
0.001666667,1.93223E-10
0.001639344,1.8387E-10
0.001612903,1.75111E-10
0.001587302,1.669E-10
0.0015625,1.59194E-10
0.001538462,1.51956E-10
0.001515152,1.45149E-10
0.001492537,1.38743E-10
0.001470588,1.32709E-10
0.001449275,1.2702E-10
0.001428571,1.21651E-10
0.001408451,1.16581E-10
0.001388889,1.11788E-10
0.001369863,1.07254E-10
0.001351351,1.02963E-10
0.001333333,9.8897E-11
0.001315789,9.50429E-11
0.001298701,9.13861E-11
0.001282051,8.79147E-11
0.001265823,8.46169E-11
0.00125,8.1482E-11
0.001234568,7.85E-11
0.001219512,7.56617E-11
0.001204819,7.29587E-11
0.001190476,7.03831E-11
0.001176471,6.7927E-11
0.001162791,6.55842E-11
0.001149425,6.33476E-11
0.001136364,6.12117E-11
0.001123596,5.91707E-11
0.001111111,5.72193E-11
0.001098901,5.53531E-11
0.001086957,5.35669E-11
0.001075269,5.1857E-11
0.00106383,5.0219E-11
0.001052632,4.86489E-11
0.001041667,4.7144E-11
0.001030928,4.57004E-11
0.001020408,4.43152E-11
0.001010101,4.29853E-11
0.001,4.17084E-11
